"filename", "language", "JSON", "JSON with Comments", "Markdown", "PostCSS", "TypeScript", "HTML", "TypeScript JSX", "XML", "Rust", "comment", "blank", "total"
"g:\TypeScriptProject\pixelart_master\pixelart_master\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"g:\TypeScriptProject\pixelart_master\pixelart_master\TEMP.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\TypeScriptProject\pixelart_master\pixelart_master\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"g:\TypeScriptProject\pixelart_master\pixelart_master\package-lock.json", "JSON", 4603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4604
"g:\TypeScriptProject\pixelart_master\pixelart_master\package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"g:\TypeScriptProject\pixelart_master\pixelart_master\public\tauri.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\capabilities\default.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\icons\android\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\icons\android\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\cancel.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 6, 29
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\disable.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 16, 129
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\manual.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 12, 101
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\merge.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 313, 0, 38, 351
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\oklab.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 26, 138
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\pipeline.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 28, 232
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\rgb_prefilter.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 26, 236
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\stats.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 14, 108
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\timing.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 7, 70
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\color_edit\types.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 12, 118
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 65, 9, 8, 82
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src-tauri\tauri.conf.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\App.css", "PostCSS", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 18, 99
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 5, 67
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IAgentProfileRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IAppSettingsRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IAssetLibraryRepository.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\ICaptureService.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IClipboardService.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IColorEditPreferencesRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IColorEditProcessor.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IColorVariationAnalysisPreferencesRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IComfyAppRepository.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 3, 21
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IComfyUiClient.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 12, 9, 63
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IComfyUiSettingsRepository.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IEditorPreferencesRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IFieldPromptConfigRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IImageExportPreferencesRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IImageProcessor.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\ILastOpenedProjectStore.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\ILlmClient.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\ILlmSettingsRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IPalettePresetRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IPatternBrushRepository.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
